pm10,temp,bp,rh,ws,co,o3,nox,so2,pm2.5
0.5099,0.7,0.931,0.9036,0,0.743,0.1418,0.731,0.035,355
0.5162,0.7,0.931,0.9036,0,0.705,0.13,0.715,0.038,355
0.5162,0.7,0.931,0.9157,0,0.705,0.134,0.6838,0.034,355
0.5318,0.7,0.931,0.9157,0,0.705,0.1444,0.6856,0.0335,372
0.5318,0.75,0.931,0.9277,0,0.649,0.1329,0.6678,0.031,372
0.5318,0.75,0.931,0.9277,0,0.64,0.1298,0.6428,0.079,372
0.5318,0.75,0.931,0.9277,0,0.615,0.116,0.6182,0.0275,372
0.513,0.8,0.931,0.9277,0,0.576,0.1058,0.5908,0.0215,381
0.513,0.7,0.931,0.9277,0,0.569,0.0912,0.5816,0.022,381
0.513,0.6,0.931,0.9277,0,0.542,0.0843,0.5768,0.0215,381
0.513,0.5,0.931,0.9398,0,0.471,0.076,0.5512,0.02,381
0.4901,0.5,0.931,0.9398,0,0.471,0.0643,0.4852,0.0185,393
0.4901,0.5,0.931,0.9398,0,0.368,0.0546,0.4362,0.014,393
0.4901,0.5,0.931,0.9398,0,0.299,0.0379,0.3656,0.079,393
0.4901,0.5,0.931,0.9398,0,0.298,0.0453,0.3404,0.0115,393
0.4453,0.5,0.931,0.9277,0.0185,0.27,0.0399,0.3374,0.016,358
0.4453,0.5,0.931,0.9157,0.0185,0.237,0.0339,0.3268,0.017,358
0.4453,0.5,0.931,0.9036,0.037,0.212,0.0306,0.305,0.0165,358
0.4453,0.5,0.931,0.9036,0.0185,0.197,0.0292,0.2856,0.015,358
0.4327,0.5,0.931,0.9157,0,0.197,0.0282,0.284,0.014,349
0.4327,0.5,0.931,0.9157,0,0.229,0.0376,0.2842,0.0135,349
0.4327,0.5,0.931,0.9277,0,0.26,0.1514,0.2946,0.079,349
0.4327,0.5,0.931,0.9277,0,0.254,0.7782,0.3082,0.016,349
0.4964,0.5,0.931,0.9277,0,0.253,0.7782,0.2942,0.0205,383
0.5255,0.8,0.931,0.9277,0,0.253,0.5545,0.3014,0.998,410
0.5255,0.8,0.931,0.9277,0,0.252,0.5545,0.2604,0.023,410
