pm10,temp,bp,rh,ws,co,o3,nox,so2
0.574,0.667,0.966,0.602,0.074,0.301,0.096,0.304,0.129
0.574,0.667,0.966,0.59,0.13,0.249,0.119,0.242,0.078
0.574,0.667,0.966,0.566,0.074,0.245,0.16,0.216,0.159
0.597,0.667,0.966,0.542,0.111,0.199,0.363,0.194,0.201
0.597,0.667,0.966,0.53,0.148,0.157,0.416,0.163,0.218
0.597,0.556,0.966,0.53,0.093,0.186,0.742,0.152,0.334
0.597,0.444,0.966,0.482,0.204,0.163,0.302,0.151,0.247
0.433,0.444,0.966,0.458,0.204,0.095,0.166,0.104,0.152
0.433,0.389,0.966,0.458,0.204,0.14,0.162,0.111,0.129
0.433,0.389,0.966,0.434,0.185,0.104,0.16,0.091,0.078
0.433,0.444,0.966,0.434,0.111,0.117,0.184,0.094,0.126
0.266,0.444,0.966,0.434,0.241,0.114,0.193,0.101,0.109
0.266,0.444,0.966,0.446,0.222,0.135,0.228,0.103,0.101
0.266,0.389,0.966,0.446,0.185,0.126,0.234,0.103,0.095
0.266,0.389,0.966,0.458,0.37,0.158,0.252,0.108,0.094
0.351,0.444,0.966,0.458,0.333,0.095,0.287,0.118,0.09
0.351,0.389,0.966,0.434,0.389,0.118,0.324,0.105,0.1
0.351,0.444,0.966,0.41,0.389,0.094,0.302,0.074,0.078
0.351,0.444,0.966,0.41,0.481,0.079,0.283,0.07,0.103
0.262,0.444,0.966,0.422,0.333,0.078,0.35,0.066,0.108
0.262,0.444,0.966,0.422,0.407,0.064,0.322,0.054,0.105
0.262,0.667,0.966,0.422,0.296,0.07,0.317,0.052,0.101
0.262,0.556,0.966,0.434,0.296,0.069,0.286,0.055,0.113
0.234,0.556,0.966,0.41,0.222,0.142,0.42,0.062,0.142
0.234,0.667,0.931,0.41,0.296,0.077,0.304,0.063,0.101
0.234,0.667,0.931,0.41,0.185,0.081,0.302,0.063,0.078
0.234,0.667,0.931,0.41,0.185,0.085,0.25,0.088,0.097
0.225,0.667,0.931,0.422,0.204,0.087,0.168,0.098,0.086
0.225,0.778,0.931,0.434,0.148,0.115,0.114,0.112,0.075
0.225,0.611,0.931,0.446,0.204,0.115,0.106,0.114,0.069
0.225,0.667,0.931,0.47,0.13,0.128,0.065,0.123,0.065
0.258,0.778,0.931,0.494,0.056,0.122,0.022,0.137,0.061
0.258,0.778,0.931,0.518,0.037,0.209,0.003,0.164,0.058
0.258,0.778,0.931,0.53,0.093,0.225,0.006,0.184,0.078
0.258,0.778,0.931,0.542,0.074,0.239,0.005,0.205,0.052
0.334,0.778,0.931,0.554,0.074,0.233,0.007,0.205,0.053
0.334,0.833,0.931,0.566,0.074,0.273,0.002,0.244,0.053
0.334,0.667,0.931,0.566,0.148,0.289,0.006,0.259,0.055
0.334,0.556,0.931,0.566,0.111,0.298,0.009,0.277,0.054
0.413,0.556,0.931,0.554,0.167,0.142,0.003,0.277,0.054
0.413,0.5,0.931,0.53,0.204,0.254,0.295,0.26,0.072
0.413,0.444,0.931,0.53,0.093,0.227,0.541,0.232,0.078
